"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"ENSMUSG00000071037",15.5975262999434,-0.124891663118572,0.498113017479408,-0.250729570872408,0.802023196543766,0.931190907902499,"1700106N22Rik"
"ENSMUSG00000087246",2.92453837691317,0.294060317236436,1.17337866319541,0.250609906639715,0.802115721716748,NA,"Gm13346"
"ENSMUSG00000040147",4363.99713616362,0.0332588145832478,0.132719193568404,0.250595363707557,0.802126966596818,0.931218727437326,"Maob"
"ENSMUSG00000022711",840.194428045918,0.0347628407186795,0.138743799421069,0.250554193151212,0.802158800699819,0.931218727437326,"Pmm2"
"ENSMUSG00000070526",5.44309627012464,0.219138753012343,0.875270059716358,0.250367015962316,0.802303534919273,0.931321937897385,"Peg12"
"ENSMUSG00000040282",87.3755573165274,-0.0603633595392993,0.241233706200972,-0.250227716888827,0.802411251927112,0.931353453661712,"BC052040"
"ENSMUSG00000084094",86.750487213575,0.0633043864201139,0.253054644091872,0.250160935189678,0.802462894124905,0.931353453661712,"Gm13961"
"ENSMUSG00000054717",19.2828650526548,-0.10803555591076,0.43194298920289,-0.250115312926201,0.802498174255692,0.931353453661712,"Hmgb2"
"ENSMUSG00000084324",1.78615146736119,-0.343055690323722,1.37248495623205,-0.24995224083587,0.802624282746739,NA,"Gm6500"
"ENSMUSG00000090771",1.78615146736119,-0.343055690323722,1.37248495623205,-0.24995224083587,0.802624282746739,NA,"Gm17501"
"ENSMUSG00000032244",394.991427964888,-0.0424535212135909,0.169854704065677,-0.249940214768356,0.802633583065506,0.931443556063325,"Fem1b"
"ENSMUSG00000047033",0.884567997333309,-0.520185084407308,2.08262184464919,-0.249774142023816,0.802762017720554,NA,"Pcdhb15"
"ENSMUSG00000092444",0.884567997333309,-0.520185084407308,2.08262184464919,-0.249774142023816,0.802762017720554,NA,"Gm18733"
"ENSMUSG00000021143",417.678134363698,0.0432292640101959,0.173101606026665,0.249733465809304,0.802793476046296,0.931443556063325,"Pacs2"
"ENSMUSG00000037070",66.4936209295652,0.0658429738164928,0.263657390170052,0.249729293664122,0.802796702733902,0.931443556063325,"Rbmxl1"
"ENSMUSG00000092471",38.7333396288938,-0.0918542703742549,0.367937876495427,-0.249646139313402,0.802861014023785,0.931443556063325,"Cyp21a2-ps"
"ENSMUSG00000089992",11.1310967400033,0.142608790609356,0.571318718225097,0.249613370015943,0.802886358052891,0.931443556063325,"G6pd2"
"ENSMUSG00000020544",80.9079569197828,0.0697734337066413,0.279585257448094,0.24956048950326,0.802927256689191,0.931443556063325,"Cox11"
"ENSMUSG00000045104",4.07029076921198,-0.228610501996626,0.916347228068713,-0.24948021338859,0.802989344554844,0.931443556063325,"Gm5514"
"ENSMUSG00000032403",136.204610596286,0.0509315094811579,0.204185573602759,0.249437355355206,0.803022492704876,0.931443556063325,"2300009A05Rik"
"ENSMUSG00000024990",55702.6900039323,0.0352325887843862,0.141409623366273,0.249152695167911,0.803242669487923,0.931598646873624,"Rbp4"
"ENSMUSG00000024397",111.010443640136,0.071516905270981,0.287078032497047,0.249120089924389,0.803267889739252,0.931598646873624,"Aif1"
